id_fermata,lat_fermata,lon_fermata,sequenza_fermate
100_0_A,38.18854,15.5584,138
100_0_A,38.18848,15.55842,137
100_0_A,38.18841,15.55841,136
100_0_A,38.18836,15.55838,135
100_0_A,38.18823,15.55827,134
100_0_A,38.18818,15.55823,133
100_0_A,38.18813,15.55822,132
100_0_A,38.18809,15.55823,131
100_0_A,38.18804,15.55824,130
100_0_A,38.18799,15.55828,129
100_0_A,38.18618,15.55994,128
100_0_A,38.18613,15.55999,127
100_0_A,38.18609,15.56005,126
100_0_A,38.18606,15.5601,125
100_0_A,38.18605,15.56016,124
100_0_A,38.18604,15.56022,123
100_0_A,38.18603,15.56042,122
100_0_A,38.18602,15.56049,121
100_0_A,38.186,15.56057,120
100_0_A,38.18597,15.56062,119
100_0_A,38.18592,15.56068,118
100_0_A,38.18586,15.56073,117
100_0_A,38.18579,15.56075,116
100_0_A,38.18573,15.56075,115
100_0_A,38.18568,15.56074,114
100_0_A,38.18564,15.56071,113
100_0_A,38.18538,15.56052,112
100_0_A,38.18534,15.56048,111
100_0_A,38.18531,15.56043,110
100_0_A,38.1853,15.56039,109
100_0_A,38.18529,15.56034,108
100_0_A,38.18529,15.56029,107
100_0_A,38.1853,15.56023,106
100_0_A,38.18533,15.56016,105
100_0_A,38.18544,15.55988,104
100_0_A,38.18546,15.5598,103
100_0_A,38.18547,15.55972,102
100_0_A,38.18546,15.55963,101
100_0_A,38.18544,15.55957,100
100_0_A,38.1854,15.55951,99
100_0_A,38.18497,15.55911,98
100_0_A,38.18492,15.55906,97
100_0_A,38.18489,15.55899,96
100_0_A,38.18486,15.55893,95
100_0_A,38.18486,15.55886,94
100_0_A,38.18488,15.55878,93
100_0_A,38.18491,15.55871,92
100_0_A,38.1862,15.55687,91
100_0_A,38.18625,15.5568,90
100_0_A,38.18627,15.55673,89
100_0_A,38.18628,15.55665,88
100_0_A,38.18627,15.55657,87
100_0_A,38.18625,15.5565,86
100_0_A,38.18619,15.55642,85
100_0_A,38.18522,15.55553,84
100_0_A,38.18445,15.55482,83
100_0_A,38.18376,15.5542,82
100_0_A,38.18181,15.55243,81
100_0_A,38.18129,15.55195,80
100_0_A,38.1803,15.55105,79
100_0_A,38.17952,15.55035,78
100_0_A,38.1795,15.55032,77
100_0_A,38.17931,15.55008,76
100_0_A,38.17928,15.55004,75
100_0_A,38.17924,15.55,74
100_0_A,38.17642,15.54743,73
100_0_A,38.17586,15.54692,72
100_0_A,38.17583,15.54688,71
100_0_A,38.1758,15.54683,70
100_0_A,38.17579,15.54677,69
100_0_A,38.17578,15.54672,68
100_0_A,38.17579,15.54666,67
100_0_A,38.1758,15.54661,66
100_0_A,38.17598,15.5463,65
100_0_A,38.17601,15.54622,64
100_0_A,38.17602,15.54613,63
100_0_A,38.176,15.54604,62
100_0_A,38.17597,15.54597,61
100_0_A,38.17592,15.54592,60
100_0_R,38.16326,15.53999,219
100_0_R,38.16347,15.53983,218
100_0_R,38.16355,15.53979,217
100_0_R,38.16361,15.53979,216
100_0_R,38.16367,15.53981,215
100_0_R,38.16373,15.53985,214
100_0_R,38.16533,15.54129,213
100_0_R,38.16588,15.54179,212
100_0_R,38.16662,15.54246,211
100_0_R,38.16776,15.54349,210
100_0_R,38.16784,15.54356,209
100_0_R,38.1679,15.54363,208
100_0_R,38.16797,15.5437,207
100_0_R,38.16804,15.54374,206
100_0_R,38.16811,15.54374,205
100_0_R,38.16817,15.54373,204
100_0_R,38.16823,15.54367,203
100_0_R,38.16827,15.5436,202
100_0_R,38.16829,15.5435,201
100_0_R,38.1685,15.54173,200
100_0_R,38.16851,15.54164,199
100_0_R,38.16855,15.54155,198
100_0_R,38.1686,15.54147,197
100_0_R,38.16867,15.54141,196
100_0_R,38.16876,15.54137,195
100_0_R,38.16886,15.54136,194
100_0_R,38.16896,15.54139,193
100_0_R,38.16977,15.54181,192
110_1_A,38.18058,15.5476,26
110_1_A,38.18066,15.5476,25
110_1_A,38.18073,15.54762,24
110_1_A,38.1808,15.54771,23
110_1_A,38.18083,15.5478,22
110_1_A,38.18087,15.54788,21
110_1_A,38.18096,15.54795,20
110_1_A,38.18115,15.54803,19
110_1_A,38.18128,15.5481,18
110_1_A,38.1824,15.54893,17
110_1_A,38.18304,15.54941,16
110_1_A,38.18373,15.54999,15
110_1_A,38.18448,15.55067,14
110_1_A,38.18504,15.55109,13
110_1_A,38.18604,15.55188,12
110_1_A,38.18694,15.5526,11
110_1_A,38.18828,15.55359,10
110_1_A,38.18918,15.55429,9
110_1_A,38.19017,15.55506,8
110_1_A,38.19093,15.55563,7
110_1_A,38.18991,15.55656,6
110_1_A,38.18941,15.55703,5
110_1_A,38.18874,15.5576,4
110_1_A,38.18805,15.55828,3
110_1_A,38.18756,15.55777,2
101_2_R,38.18633,15.56039,199
101_2_R,38.18559,15.5597,198
101_2_R,38.18543,15.55967,197
101_2_R,38.18443,15.55868,196
101_2_R,38.18224,15.55665,195
101_2_R,38.17868,15.55349,194
101_2_R,38.17312,15.54834,193
